hash,block,timestamp,from,to,amount_usd,datetime
0xa6d2c2a972c359df9c2e5f94a123a69079473b01739ebfa44877856e98ecbf17,11370497,1767553291,0xa55ee668536e3bdcc32d26c98b71bc39752fa811,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,355340.2160177824,2026-01-04 11:01:31
0xe858afe2e7b8a32acf79b8fa8005c3d86e8a76d2593f0abee3e200c9b40061cf,12229207,1769270711,0x9bd82e6f95756d132b6ff65463f08c92aa8c5bce,0x9a8a5cf3bf586849874b080998cb50f4fd720709,1793814.82901677,2026-01-24 08:05:11
0xc7d6e05add01de800957f223d855f3d57576f8ed96be9d0e073e124bf84a5a31,10327687,1765467672,0x4be5e176c0268a340c176504ad15d988f100ae89,0xae8f356c10b2046ee56c0b2648dfbcf057a55479,261772.3817052343,2025-12-11 07:41:12
0xa9474cbd01bc39397713410c90512a68d5b793b3b3ebccc47cc6d2a3daba3ab3,13493596,1771799490,0x200b40ff3e041b7ac40fa35bad05cbf2bc8a74c6,0x3154cf16ccdb4c6d922629664174b904d80f2c35,381147.67054602184,2026-02-22 14:31:30
0x4c303d6a8e50a064e8e882dbb1c6ec3752a3c9294025ef16341cf77333d4d0c2,13575111,1771962519,0xc6efd18f8feca81d5f15a853447ee313bfc203e8,0x1a44076050125825900e736c501f859c50fe728c,1102756.0302489942,2026-02-24 11:48:39
0xe54201bc489e49401b38a4e89660114ead080aba25db65a7a9c9aa96885efc2c,11319922,1767452142,0xd806ee7cd75f6ae03c5f9e01660d2f1e7414ce07,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,1218622.8946175342,2026-01-03 06:55:42
0x5aa9cfee100f57f23d4fc899b3956d4baecd4b3b04dc08bd7813ebde49b215a1,13290092,1771392481,0xd3b42b98847df091bef342180a713b7bce27edff,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1291252.0315640492,2026-02-17 21:28:01
0xd3c458d6585ceb1aee178065c725cab6bf1ba157fb0c018e1c6e5645ea8df114,13446405,1771705107,0x46fd21cf1fb311c2d116d8fd03287668e0f0763e,0x23055618898e202386e6c13955a58d3c68200bfb,1364228.8735591266,2026-02-21 12:18:27
0x2b00991b82cc0b1cd7ce7b5b5177bae6e0630bdb4770cfabded8cf9dd802b965,11991611,1768795519,0x171ef4d24f5c5592b089b2e80be98bfaae49cb9a,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,472649.19901477307,2026-01-18 20:05:19
0x5a1ffb963e5123c4dbc1f808a0d0a30672e1fb3f5a232fef7cb2098c80865a2b,11103853,1767020003,0x3d16bbc9c746a016fa36df7a83c8e751e47152a0,0xd55070b6be0ed4ef5e37b4db2238aba745c76042,613950.3319008491,2025-12-29 06:53:23
0x51e56836479fbb3fcb974fc4956ebac1c45c956b06ced04217a5587f4c579cfb,12270203,1769352704,0xceff318e6fa89f1a20fb20db4133b30bd7503d99,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,1337235.3580270165,2026-01-25 06:51:44
